manufacturer,model,price,car_details_url,fuel_type,vehicle_chasis
BMW,iX1 Elektrisch,"€ 609,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/ix1-ev,Elektriciteit,SUV
Citroen,C5 Aircross PHEV,"€ 614,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/citroen/c5-aircross-phev,Elektriciteit / benzine,SUV
Jeep,Renegade PHEV,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/renegade-phev,Elektriciteit / benzine,SUV
Jeep,Compass MHEV,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-mhev,Benzine,SUV
Toyota,bZ4X Elektrisch,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/toyota/bz4x-ev,Elektriciteit,SUV
Tesla,Model Y Elektrisch,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/tesla/model-y-ev,Elektriciteit,SUV
Peugeot,5008,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008,Benzine,SUV
BMW,2 Serie Active Tourer,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer,Benzine,MPV
Opel,Grandland PHEV,"€ 619,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/opel/grandland-phev,Elektriciteit / benzine,SUV
Zeekr,X Elektrisch,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/zeekr/x-ev,Elektriciteit,SUV
Hyundai,Tucson PHEV,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/hyundai/tucson-phev,Elektriciteit / benzine,SUV
BMW,3 Serie Sedan,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=XB943G&condition=occasion,Benzine,Sedan
Skoda,Enyaq Coupe Elektrisch,"€ 629,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/skoda/enyaq-coupe-ev,Elektriciteit,SUV
Mercedes-Benz,EQA Elektrisch,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqa-ev,Elektriciteit,SUV
Peugeot,408 PHEV,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/408-phev,Elektriciteit / benzine,Hatchback
Cupra,Leon PHEV,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-phev,Elektriciteit / benzine,Hatchback
Mercedes-Benz,B-Klasse MHEV,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-mhev,Benzine,MPV
Nissan,QASHQAI Hybrid,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/qashqai-hybrid,Hybride benzine,SUV
Peugeot,5008 MHEV,"€ 639,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/peugeot/5008-mhev,Benzine,SUV
Mercedes-Benz,CLA Coupe MHEV,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-mhev,Benzine,Sedan
Seat,Tarraco,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/seat/tarraco,Benzine,SUV
Ford,Mustang Mach-E Elektrisch,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/ford/mustang-mach-e-ev,Elektriciteit,SUV
Mercedes-Benz,B-Klasse PHEV,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/b-klasse-phev,Elektriciteit/Benzine,MPV
Volvo,XC40 Recharge Elektrisch,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/xc40-recharge-ev,Elektriciteit,SUV
Mazda,6,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mazda/6,Benzine,Sedan
Nissan,Ariya Elektrisch,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/nissan/ariya-ev,Elektriciteit,SUV
BMW,2 Serie Active Tourer MHEV,"€ 649,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/bmw/2-serie-active-tourer-mhev,Benzine,MPV
Lexus,UX 250h Hybrid,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/lexus/ux-250h-hybrid,Hybride benzine,SUV
Volvo,XC40,"€ 659,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=ZV178Z&condition=occasion,Benzine,SUV
Mercedes-Benz,EQB Elektrisch,"€ 664,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/eqb-ev,Elektriciteit,SUV
Cupra,Leon Sportstourer PHEV,"€ 664,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/leon-sportstourer-phev,Elektriciteit / benzine,Stationwagen
Volvo,C40 Recharge Elektrisch,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/volvo/c40-recharge-ev,Elektriciteit,SUV
Mercedes-Benz,CLA Coupe PHEV,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mercedes-benz/cla-coupe-phev,Elektriciteit/Benzine,Sedan
Jeep,Compass PHEV,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/jeep/compass-phev,Elektriciteit / benzine,SUV
Cupra,Formentor PHEV,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/cupra/formentor-phev,Elektriciteit / benzine,SUV
MG,Marvel R Elektrisch,"€ 669,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanbod/mg/marvel-r-ev,Elektriciteit,SUV
Volkswagen,T-Roc,"€ 679,-",https://www.anwb.nl/auto/private-lease/anwb-private-lease/aanvragen/samenstelling-auto-en-contract?carId=H045FK&condition=occasion,Benzine,SUV
